,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
84,Fairbanks,64.84,-147.72,51.8,100,75,3.36,US,1598035440
85,Mackay,-21.15,149.2,50.0,87,0,5.82,AU,1598035568
86,Aldan,58.6,125.39,50.65,97,100,2.04,RU,1598035531
87,Hamilton,39.18,-84.53,86.0,54,1,6.93,US,1598035347
88,Loandjili,-4.76,11.86,75.2,83,40,6.93,CG,1598035569
89,América Dourada,-11.46,-41.44,85.71,36,29,12.48,BR,1598035569
90,Cockburn Town,21.46,-71.14,87.8,62,40,11.41,TC,1598035569
91,Alofi,-19.06,-169.92,71.6,100,0,2.24,NU,1598035570
92,Bredasdorp,-34.53,20.04,55.4,87,80,2.24,ZA,1598035423
93,Sandy Bay,-42.91,147.35,35.6,83,40,3.36,AU,1598035570
94,Asău,46.43,26.4,64.0,88,1,3.13,RO,1598035570
95,Saint Paul Harbor,57.79,-152.41,62.87,66,0,5.03,US,1598035571
96,Krasnosel'kup,65.7,82.47,49.8,85,0,9.66,RU,1598035571
97,Lorengau,-2.02,147.27,82.85,72,46,8.59,PG,1598035421
98,Sinnamary,5.38,-52.95,84.36,67,3,13.2,GF,1598035571
99,Iqaluit,63.75,-68.51,53.6,66,75,4.63,CA,1598035415
100,Mount Isa,-20.73,139.5,55.4,30,4,6.93,AU,1598035572
101,Pisco,-13.7,-76.22,63.0,87,90,8.05,PE,1598035572
102,Tasiilaq,65.61,-37.64,50.0,53,20,11.41,GL,1598035572
103,Yellowknife,62.46,-114.35,55.4,62,40,11.41,CA,1598035572
104,Tadpatri,14.92,78.02,80.01,73,100,12.82,IN,1598035573
105,Mokrous,51.23,47.52,57.56,75,0,8.41,RU,1598035573
106,Hithadhoo,-0.6,73.08,82.49,80,86,14.29,MV,1598035573
107,Isangel,-19.55,169.27,72.37,83,40,6.67,VU,1598035573
108,Qasigiannguit,68.82,-51.19,46.4,52,20,3.36,GL,1598035574
109,Kotel'nich,58.31,48.35,54.95,82,100,4.68,RU,1598035574
110,Thompson,55.74,-97.86,60.8,72,75,10.29,CA,1598035574
111,Grindavik,63.84,-22.43,59.0,58,0,14.99,IS,1598035574
112,Rocha,-34.48,-54.33,56.39,55,0,9.66,UY,1598035575
113,Katsuura,35.13,140.3,80.01,87,2,3.83,JP,1598035430
114,Carnarvon,-24.87,113.63,57.2,100,76,5.82,AU,1598035575
115,Urucará,-2.54,-57.76,102.24,20,17,5.86,BR,1598035575
116,Bambous Virieux,-20.34,57.76,71.6,64,75,6.93,MU,1598035576
117,Vila Franca do Campo,37.72,-25.43,77.0,78,40,4.7,PT,1598035576
118,Bouna,9.27,-3.0,76.77,80,0,3.38,CI,1598035576
119,Port Montt,-41.47,-72.94,48.2,81,90,10.29,CL,1598035576
120,Port Alfred,-33.59,26.89,58.8,72,0,11.5,ZA,1598035576
121,Casambalangan,18.38,122.13,78.35,82,80,2.95,PH,1598035577
122,Hokitika,-42.72,170.97,51.37,88,97,0.96,NZ,1598035577
123,Srednekolymsk,67.45,153.68,39.58,73,100,11.03,RU,1598035577
124,Avera,33.19,-82.53,82.4,74,40,5.82,US,1598035578
125,Acapulco de Juárez,16.86,-99.89,87.8,66,40,3.36,MX,1598035360
126,Khatanga,71.97,102.5,43.47,66,0,12.86,RU,1598035578
127,Tiksi,71.69,128.87,37.85,85,100,9.53,RU,1598035578
128,Nacogdoches,31.6,-94.63,91.0,40,1,5.82,US,1598035422
129,Vila Velha,-20.33,-40.29,71.6,68,75,18.34,BR,1598035579
130,Olafsvik,64.89,-23.71,54.1,60,0,17.09,IS,1598035439
131,Codrington,-38.27,141.97,44.08,90,100,16.78,AU,1598035579
132,Bengkulu,-3.8,102.27,76.01,87,89,4.23,ID,1598035579
133,Kavaratti,10.57,72.64,82.17,82,100,12.97,IN,1598035580
134,Jamestown,42.1,-79.24,82.0,57,75,10.29,US,1598035416
135,Anadyr,64.75,177.48,50.0,100,90,17.9,RU,1598035447
136,Baishishan,43.58,127.57,56.88,82,18,2.24,CN,1598035580
137,Gamba,-2.65,10.0,73.83,81,88,8.23,GA,1598035445
138,Los Llanos de Aridane,28.66,-17.92,79.0,73,20,8.05,ES,1598035581
139,Paso de Carrasco,-34.86,-56.05,59.0,28,0,13.87,UY,1598035581
140,Nikolskoye,59.7,30.79,68.0,60,0,2.24,RU,1598035581
141,Saint-Pierre,-21.34,55.48,68.0,60,20,6.93,RE,1598035582
142,Aksarka,66.56,67.8,52.14,86,0,16.33,RU,1598035582
143,Whitehorse,60.72,-135.05,55.0,93,75,4.7,CA,1598035442
144,Pevek,69.7,170.31,38.91,87,100,2.04,RU,1598035583
145,Nipawin,53.37,-104.0,62.6,87,90,14.99,CA,1598035583
146,Prieska,-29.66,22.75,51.31,38,0,3.76,ZA,1598035583
147,Chui,-33.7,-53.46,56.52,53,0,8.84,UY,1598035583
148,Frontera,26.93,-101.45,98.01,25,75,5.12,MX,1598035584
149,Fes,34.04,-5.0,93.2,28,20,10.29,MA,1598035507
150,Tokonou,9.65,-9.78,72.75,94,100,3.36,GN,1598035584
151,Sandviken,60.62,16.77,71.01,57,100,7.0,SE,1598035584
152,Vostok,46.49,135.88,46.67,98,69,3.94,RU,1598035585
153,Hasaki,35.73,140.83,75.2,94,20,3.36,JP,1598035585
154,Pokhara,28.23,83.98,72.18,81,97,1.1,NP,1598035585
155,Fortuna,40.6,-124.16,80.01,69,0,4.0,US,1598035586
156,Varkaus,62.32,27.87,63.0,93,0,3.36,FI,1598035586
157,Vanavara,60.34,102.28,53.83,77,100,2.86,RU,1598035586
158,Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,93,20,4.47,RU,1598035586
159,Jadu,31.95,12.03,81.68,33,0,8.39,LY,1598035587
160,Phalodi,27.13,72.37,91.96,55,86,8.14,IN,1598035587
161,Antalaha,-14.9,50.28,67.66,84,0,9.06,MG,1598035588
162,Sydney Mines,46.24,-60.22,73.0,52,75,8.05,CA,1598035588
163,Ekhabi,53.51,142.97,51.13,89,0,9.15,RU,1598035588
164,Montluçon,46.33,2.6,70.0,81,92,1.99,FR,1598035589
165,Palāsa,18.77,84.42,79.66,89,100,9.37,IN,1598035589
166,Escalerillas,22.13,-101.07,78.8,27,20,5.44,MX,1598035589
167,Talant,47.34,5.01,82.4,54,91,17.22,FR,1598035589
168,Russellville,35.28,-93.13,84.2,54,75,5.82,US,1598035563
169,Yaan,7.38,8.57,70.97,98,88,4.92,NG,1598035590
170,Tirat Carmel,32.76,34.97,81.0,81,0,5.95,IL,1598035590
171,Ambanja,-13.68,48.45,73.44,78,97,1.83,MG,1598035590
172,Aljezur,37.32,-8.8,72.0,74,0,1.99,PT,1598035591
173,Constitución,-35.33,-72.42,62.55,53,0,5.39,CL,1598035591
174,Saint-Augustin,51.23,-58.65,65.37,46,100,14.63,CA,1598035439
175,Tuatapere,-46.13,167.68,48.0,97,20,3.0,NZ,1598035430
176,Carlos Chagas,-17.7,-40.77,80.15,57,61,12.84,BR,1598035592
177,Gladstone,-23.85,151.25,55.4,71,0,6.93,AU,1598035592
178,Saravan,39.72,45.65,84.2,35,1,11.41,AM,1598035592
179,Naze,28.37,129.48,77.0,94,0,3.36,JP,1598035592
180,Saskylakh,71.92,114.08,35.42,90,19,6.26,RU,1598035593
181,Chokurdakh,70.63,147.92,34.56,95,99,7.25,RU,1598035593
182,Naro Moru,-0.17,37.02,57.67,79,39,12.17,KE,1598035593
183,Hong Kong,22.29,114.16,82.0,78,100,4.0,HK,1598035482
184,Mbini,1.57,9.61,80.6,83,40,11.41,GQ,1598035593
185,Pakokku,21.33,95.1,79.97,81,97,8.84,MM,1598035594
186,Dikson,73.51,80.55,44.17,78,0,13.73,RU,1598035594
187,Vilyuysk,63.76,121.62,40.15,71,0,4.5,RU,1598035594
188,Avenal,36.0,-120.13,91.0,31,90,10.29,US,1598035595
189,Margate,51.38,1.39,71.01,63,0,4.0,GB,1598035310
190,Marabba,12.35,32.18,83.71,66,100,3.51,SD,1598035595
191,Pandan,14.05,124.17,80.28,88,100,7.72,PH,1598035595
192,Ajdabiya,30.76,20.23,80.78,63,0,16.4,LY,1598035595
193,Bloomfield,40.81,-74.19,87.01,51,1,9.17,US,1598035596
194,Mitsamiouli,-11.38,43.28,75.2,78,20,4.7,KM,1598035596
195,Marsh Harbour,26.54,-77.06,84.92,72,0,14.5,BS,1598035596
196,Kismayo,-0.36,42.55,76.87,78,98,16.37,SO,1598035596
197,Shaki,41.08,47.17,80.6,50,0,4.7,AZ,1598035597
198,Caravelas,-17.71,-39.25,73.76,87,54,7.87,BR,1598035597
199,Lagoa,39.05,-27.98,69.12,62,0,3.76,PT,1598035597
200,Gävle,60.67,17.14,71.01,56,100,3.0,SE,1598035301
201,Mocuba,-16.84,36.99,66.22,90,1,3.42,MZ,1598035598
202,Clyde River,70.47,-68.59,43.99,82,97,1.83,CA,1598035598
203,Half Moon Bay,37.46,-122.43,81.0,88,40,8.05,US,1598035598
204,Ribeira Grande,38.52,-28.7,73.4,73,75,4.7,PT,1598035427
205,Nome,64.5,-165.41,52.0,87,90,3.74,US,1598035599
206,Ust'-Kut,56.79,105.77,58.84,64,100,1.16,RU,1598035599
207,Tuktoyaktuk,69.45,-133.04,50.94,77,0,2.3,CA,1598035599
208,Bandarbeyla,9.49,50.81,76.75,78,80,29.93,SO,1598035599
209,Honningsvåg,70.98,25.97,57.2,76,75,1.12,NO,1598035600
210,Faanui,-16.48,-151.75,77.63,79,9,24.14,PF,1598035600
211,Tyup,42.73,78.36,53.42,60,16,3.42,KG,1598035600
212,Fukagawa,43.71,142.04,53.13,76,100,1.25,JP,1598035601
213,Castro,-24.79,-50.01,43.57,87,100,5.82,BR,1598035601
214,Nabire,-3.37,135.48,74.61,88,4,3.87,ID,1598035447
215,Airai,-8.93,125.41,57.56,52,0,3.29,TL,1598035601
216,Goderich,43.75,-81.72,78.01,75,0,7.47,CA,1598035554
217,Yangi Marg`ilon,40.43,71.72,73.4,49,0,6.93,UZ,1598035602
218,Lavrentiya,65.58,-171.0,47.35,91,100,5.97,RU,1598035602
219,Jutaí,-5.18,-68.9,88.41,50,38,5.75,BR,1598035602
220,Sur,22.57,59.53,84.87,65,100,14.74,OM,1598035602
221,Mahébourg,-20.41,57.7,71.6,64,75,6.93,MU,1598035603
222,Nantucket,41.28,-70.1,73.4,73,1,14.99,US,1598035535
223,Turukhansk,65.82,87.98,54.32,68,100,10.29,RU,1598035603
224,Les Cayes,18.2,-73.75,86.83,69,18,8.08,HT,1598035603
225,Lakes Entrance,-37.88,147.98,34.0,91,0,13.85,AU,1598035604
226,Trairi,-3.28,-39.27,83.14,66,0,16.67,BR,1598035433
227,Ambilobe,-13.2,49.05,68.74,79,43,3.76,MG,1598035550
228,Trondheim,63.43,10.4,71.01,57,100,5.01,NO,1598035502
229,Lata,40.16,-8.33,73.99,64,100,7.0,PT,1598035414
230,Puerto Colombia,10.99,-74.95,91.4,59,40,3.36,CO,1598035605
231,Puerto Nariño,-3.77,-70.38,71.6,100,90,9.17,CO,1598035605
232,Saint George,37.1,-113.58,99.0,23,1,3.36,US,1598035421
233,Finschhafen,-6.6,147.87,78.31,79,47,7.38,PG,1598035606
234,Upernavik,72.79,-56.15,45.34,66,51,9.51,GL,1598035417
235,Ayr,55.46,-4.63,62.6,82,40,10.29,GB,1598035606
236,Shache,38.42,77.24,68.9,38,0,7.65,CN,1598035607
237,Gigmoto,13.78,124.39,80.98,85,100,6.93,PH,1598035607
238,Sola,-13.88,167.55,81.0,84,99,18.5,VU,1598035607
239,Kiryat Gat,31.61,34.76,81.0,73,0,0.72,IL,1598035607
240,Assiniboia,49.63,-105.98,82.62,28,0,16.28,CA,1598035608
241,Belmonte,-15.86,-38.88,78.8,65,75,8.05,BR,1598035608
242,Pimentel,-6.84,-79.93,69.8,60,5,14.99,PE,1598035608
243,North Bend,43.41,-124.22,69.01,88,90,5.82,US,1598035609
244,Hofn,64.25,-15.21,54.23,51,1,15.17,IS,1598035609
245,Rotenburg,53.12,9.4,78.01,69,97,7.0,DE,1598035609
246,Norman Wells,65.28,-126.83,62.6,59,75,18.34,CA,1598035325
247,Souillac,-20.52,57.52,71.6,64,75,6.93,MU,1598035610
248,São Filipe,14.9,-24.5,77.65,73,44,6.22,CV,1598035417
249,Nekā,36.65,53.3,73.99,75,0,5.23,IR,1598035611
250,Antropovo,58.4,43.01,51.24,79,0,2.84,RU,1598035611
251,Velizh,55.61,31.2,52.84,96,0,0.47,RU,1598035611
252,Bilibino,68.05,166.44,40.39,83,100,6.64,RU,1598035418
253,Hambantota,6.12,81.12,80.6,94,67,8.05,LK,1598035612
254,Erzin,36.96,36.2,80.01,82,89,3.24,TR,1598035612
255,Bridlington,54.08,-0.19,66.2,68,100,20.8,GB,1598035612
256,Dinar,38.06,30.17,77.0,33,0,9.17,TR,1598035613
257,Maputo,-25.97,32.59,62.6,82,75,5.82,MZ,1598035613
258,Ust'-Uda,54.17,103.03,56.84,86,100,2.84,RU,1598035613
259,Emba,48.83,58.14,63.14,50,0,8.21,KZ,1598035447
260,Kahului,20.89,-156.47,82.4,58,40,13.87,US,1598035613
261,Torbay,47.67,-52.73,72.0,49,40,21.92,CA,1598035384
262,Nagato,34.38,131.2,80.6,83,75,4.7,JP,1598035614
263,Inírida,3.87,-67.92,88.32,63,100,1.19,CO,1598035614
264,Maués,-3.38,-57.72,102.56,21,1,6.11,BR,1598035465
265,Gogrial,8.53,28.1,75.0,89,71,0.38,SS,1598035615
266,Vardø,70.37,31.11,50.0,100,75,16.11,NO,1598035615
267,Itarantim,-15.66,-40.07,81.43,51,37,5.75,BR,1598035615
268,Provideniya,64.38,-173.3,49.66,93,100,8.12,RU,1598035616
269,Majene,-3.54,118.97,76.17,83,0,10.56,ID,1598035616
270,Yeniseysk,58.45,92.17,55.76,97,28,4.94,RU,1598035430
271,Yar-Sale,66.83,70.83,54.3,86,76,11.72,RU,1598035435
272,Koslan,63.46,48.9,49.6,92,0,2.64,RU,1598035617
273,Pachino,36.72,15.09,82.0,71,0,4.94,IT,1598035618
274,Sayyan,15.17,44.32,69.96,31,100,7.96,YE,1598035618
275,Nelson Bay,-32.72,152.15,54.0,62,75,19.46,AU,1598035618
276,Skibbereen,51.55,-9.27,59.0,87,75,11.41,IE,1598035618
277,Neepawa,50.23,-99.47,77.0,83,90,5.82,CA,1598035619
278,Rotherham,53.43,-1.36,66.0,78,100,3.0,GB,1598035619
279,Muros,42.78,-9.06,69.01,79,0,13.0,ES,1598035619
280,Raahe,64.68,24.48,66.2,77,0,2.24,FI,1598035619
281,Issoire,45.55,3.25,77.0,65,75,9.17,FR,1598035620
282,Doha,25.29,51.53,98.6,23,0,9.17,QA,1598035451
